condition,county,year,month,n
"Amebiasis, NOS",canyon,2022,4,1
"Amebiasis, NOS",payette,2018,4,1
Aseptic meningitis,canyon,2017,9,1
Aseptic meningitis,canyon,2018,5,2
Aseptic meningitis,canyon,2018,6,1
Aseptic meningitis,canyon,2018,8,1
Aseptic meningitis,canyon,2018,11,2
Aseptic meningitis,canyon,2019,3,3
Aseptic meningitis,canyon,2019,4,1
Aseptic meningitis,canyon,2019,7,1
Aseptic meningitis,canyon,2019,9,1
Aseptic meningitis,canyon,2020,2,1
Aseptic meningitis,canyon,2020,6,1
Aseptic meningitis,payette,2019,9,1
Aseptic meningitis,payette,2020,5,1
Aseptic meningitis,washington,2019,8,1
"Botulism, infant",adams,2021,1,1
"Botulism, infant",canyon,2020,5,1
"Botulism, infant",washington,2018,5,1
Campylobacteriosis,adams,2018,4,1
Campylobacteriosis,adams,2019,5,1
Campylobacteriosis,adams,2019,10,1
Campylobacteriosis,adams,2022,5,1
Campylobacteriosis,canyon,2017,1,1
Campylobacteriosis,canyon,2017,2,3
Campylobacteriosis,canyon,2017,3,3
Campylobacteriosis,canyon,2017,4,6
Campylobacteriosis,canyon,2017,5,6
Campylobacteriosis,canyon,2017,6,13
Campylobacteriosis,canyon,2017,7,14
Campylobacteriosis,canyon,2017,8,10
Campylobacteriosis,canyon,2017,9,7
Campylobacteriosis,canyon,2017,10,3
Campylobacteriosis,canyon,2017,11,2
Campylobacteriosis,canyon,2017,12,2
Campylobacteriosis,canyon,2018,1,6
Campylobacteriosis,canyon,2018,2,3
Campylobacteriosis,canyon,2018,3,4
Campylobacteriosis,canyon,2018,4,4
Campylobacteriosis,canyon,2018,5,5
Campylobacteriosis,canyon,2018,6,6
Campylobacteriosis,canyon,2018,7,9
Campylobacteriosis,canyon,2018,8,11
Campylobacteriosis,canyon,2018,9,8
Campylobacteriosis,canyon,2018,10,8
Campylobacteriosis,canyon,2018,11,4
Campylobacteriosis,canyon,2018,12,3
Campylobacteriosis,canyon,2019,1,2
Campylobacteriosis,canyon,2019,2,2
Campylobacteriosis,canyon,2019,3,3
Campylobacteriosis,canyon,2019,4,6
Campylobacteriosis,canyon,2019,5,4
Campylobacteriosis,canyon,2019,6,14
Campylobacteriosis,canyon,2019,7,11
Campylobacteriosis,canyon,2019,8,8
Campylobacteriosis,canyon,2019,9,8
Campylobacteriosis,canyon,2019,10,7
Campylobacteriosis,canyon,2019,11,2
Campylobacteriosis,canyon,2019,12,4
Campylobacteriosis,canyon,2020,1,4
Campylobacteriosis,canyon,2020,2,3
Campylobacteriosis,canyon,2020,3,1
Campylobacteriosis,canyon,2020,5,2
Campylobacteriosis,canyon,2020,6,9
Campylobacteriosis,canyon,2020,7,9
Campylobacteriosis,canyon,2020,8,6
Campylobacteriosis,canyon,2020,9,12
Campylobacteriosis,canyon,2020,10,5
Campylobacteriosis,canyon,2020,11,1
Campylobacteriosis,canyon,2020,12,4
Campylobacteriosis,canyon,2021,1,4
Campylobacteriosis,canyon,2021,2,6
Campylobacteriosis,canyon,2021,3,3
Campylobacteriosis,canyon,2021,4,1
Campylobacteriosis,canyon,2021,5,5
Campylobacteriosis,canyon,2021,6,5
Campylobacteriosis,canyon,2021,7,7
Campylobacteriosis,canyon,2021,8,6
Campylobacteriosis,canyon,2021,9,19
Campylobacteriosis,canyon,2021,10,5
Campylobacteriosis,canyon,2021,11,3
Campylobacteriosis,canyon,2021,12,6
Campylobacteriosis,canyon,2022,1,6
Campylobacteriosis,canyon,2022,2,1
Campylobacteriosis,canyon,2022,3,2
Campylobacteriosis,canyon,2022,4,8
Campylobacteriosis,canyon,2022,5,10
Campylobacteriosis,canyon,2022,6,8
Campylobacteriosis,canyon,2022,7,11
Campylobacteriosis,canyon,2022,8,3
Campylobacteriosis,canyon,2022,9,19
Campylobacteriosis,canyon,2022,10,8
Campylobacteriosis,canyon,2022,11,5
Campylobacteriosis,canyon,2022,12,7
Campylobacteriosis,canyon,2023,1,5
Campylobacteriosis,canyon,2023,2,8
Campylobacteriosis,canyon,2023,3,4
Campylobacteriosis,canyon,2023,4,3
Campylobacteriosis,canyon,2023,5,1
Campylobacteriosis,canyon,2023,6,3
Campylobacteriosis,gem,2017,1,1
Campylobacteriosis,gem,2017,6,2
Campylobacteriosis,gem,2017,8,1
Campylobacteriosis,gem,2017,9,1
Campylobacteriosis,gem,2018,1,1
Campylobacteriosis,gem,2018,3,2
Campylobacteriosis,gem,2018,5,1
Campylobacteriosis,gem,2018,6,2
Campylobacteriosis,gem,2018,7,2
Campylobacteriosis,gem,2018,8,1
Campylobacteriosis,gem,2019,5,1
Campylobacteriosis,gem,2019,6,1
Campylobacteriosis,gem,2019,7,1
Campylobacteriosis,gem,2019,10,1
Campylobacteriosis,gem,2019,11,1
Campylobacteriosis,gem,2020,4,1
Campylobacteriosis,gem,2020,6,2
Campylobacteriosis,gem,2020,7,1
Campylobacteriosis,gem,2020,10,1
Campylobacteriosis,gem,2021,2,1
Campylobacteriosis,gem,2021,3,3
Campylobacteriosis,gem,2021,12,2
Campylobacteriosis,gem,2022,5,1
Campylobacteriosis,gem,2022,7,1
Campylobacteriosis,gem,2022,8,2
